po_number,supplier,supplier_name,currency,country,purchase_date,material,plant,material_type,raw_material,raw_material_type,material_name,material_type_name,item,price,po_uom,delivery_date,po_qty,receive_po_qty,exchange_rate,total_price,total_price_krw,receive_total_price,receive_total_price_krw,pr_number,pr_item,completion_flag
4000000145,HF0012,Precision Coil Spring Company (PCSpring),USD,US,2015-06-19,492Z5806-1,H2A,MTO,,,"SPRING - WBF MID, PRESSURE RELIEF DOOR",A BUY,10,57,EA,2016-01-05,81,81,1184.3,4617,5466528,4617,5466528,,,X
4000000146,HF0003,SERVICE STEEL AEROSPACE CORP.,USD,US,2016-01-07,9545H2000045,H2A,MTE,Fe,sheet,STEEL SHEET,원자재(OR),10,0.081,SI,2016-01-05,8640,8640,1184.3,699.84,828800,699.84,828800,,,X
4000000147,HF0006,Boeing Distribution Services Inc. (BDSI),USD,US,2016-01-07,BACB28AT14D048Z,H2A,MTC,,,G BUSH - FILLET FAIRING - INBD FLAP,H/W(HR),10,7.21,EA,2016-01-07,218,218,1193.9,1571.78,1876968,1571.78,1876968,,,X
4000000147,HF0006,Boeing Distribution Services Inc. (BDSI),USD,US,2016-01-07,BACB30FN6A8,H2A,MTC,,,"BOLT, HEX DRIVE",H/W(HR),20,2.49,EA,2016-01-07,20,20,1193.9,49.8,59700,49.8,59700,,,X
4000000147,HF0006,Boeing Distribution Services Inc. (BDSI),USD,US,2016-01-07,BACB30LH2-4,H2A,MTC,,,BOLT(B),H/W(HR),30,0.74,EA,2016-01-07,150,150,1193.9,111,132534,111,132534,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9549H2000022,H2A,MTE,Al,Extrusion,AL EXTRUSION,원자재(OR),110,0.885,IN,2016-01-15,432,432,1212.7,382.32,463366,382.32,463366,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9549H2000031,H2A,MTE,Al,Extrusion,AL EXTRUSION,원자재(OR),120,0.475,IN,2016-01-15,432,432,1212.7,205.2,248665,205.2,248665,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9549H2000032,H2A,MTE,Al,Extrusion,AL EXTRUSION,원자재(OR),130,0.157,IN,2016-01-15,7200,7200,1212.7,1130.4,1370690,1130.4,1370690,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9549H2000034,H2A,MTE,Al,Extrusion,AL EXTRUSION,원자재(OR),140,0.28,IN,2016-01-15,5280,5280,1212.7,1478.4,1792814,1478.4,1792814,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000046,H2A,MTE,Al,Plate,AL PLATE,원자재(OR),30,0.436,SI,2016-01-15,7008.25,7008.25,1212.7,3055.597,3706928,3055.597,3706928,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000042,H2A,MTE,Al,sheet,AL BARE SHEET,원자재(OR),20,0.014,SI,2016-01-15,20736,20736,1212.7,290.304,351770,290.304,351770,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000047,H2A,MTE,Al,Plate,AL PLATE(CTS),원자재(OR),40,272.4,EA,2016-01-15,44,44,1212.7,11985.6,14539018,11985.6,14539018,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000048,H2A,MTE,Al,sheet,AL CLAD SHEET,원자재(OR),50,0.017,SI,2016-01-15,6912,6912,1212.7,117.504,143134,117.504,143134,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000049,H2A,MTE,Al,sheet,AL BARE SHEET,원자재(OR),60,0.01,SI,2016-01-15,20736,20736,1212.7,207.36,251091,207.36,251091,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000050,H2A,MTE,Al,sheet,AL CLAD SHEET,원자재(OR),70,0.014,SI,2016-01-15,13824,13824,1212.7,193.536,235322,193.536,235322,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000051,H2A,MTE,Al,sheet,AL CLAD SHEET,원자재(OR),80,0.013,SI,2016-01-15,221184,221184,1212.7,2875.392,3487375,2875.392,3487375,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000052,H2A,MTE,Al,sheet,AL CLAD SHEET,원자재(OR),90,0.011,SI,2016-01-15,117504,117504,1212.7,1292.544,1568409,1292.544,1568409,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000053,H2A,MTE,Al,sheet,AL CLAD SHEET,원자재(OR),100,0.012,SI,2016-01-15,76032,76032,1212.7,912.384,1106256,912.384,1106256,,,X
4000000126,HF0033,The Boeing Company (TMX),USD,US,2015-11-13,9545H2000010,H2A,MTE,Al,sheet,AL BARE SHEET,원자재(OR),10,0.013,SI,2016-01-15,6912,6912,1212.7,89.856,109170,89.856,109170,,,X
4000000108,HF0033,The Boeing Company (TMX),USD,US,2015-11-05,9545H2000025,H2A,MTE,Al,Plate,AL PLATE(CTS),원자재(OR),10,17.1,EA,2016-01-15,20,20,1212.7,342,414846,342,414846,,,X
